Grade/Class,Skills,Interests,Hobbies,Passion,Favorite Subject,Recommended Career,Salary,Job Description,Job Security,Topics to Be Covered
12th,"Networking, Cloud Computing, Java, Linux",UI/UX Design,Building Projects,Developing Web Apps,Computer Science,Mobile App Developer,113923,Create mobile applications.,High,Android-iOS-ReactNative
MTech Data Science,"Cloud Computing, JavaScript, React, Deep Learning",Networking,Exploring Open Source,Securing Networks,Computer Science,Network Engineer,88717,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
B.E Computer Science,"Deep Learning, React, Java, Machine Learning",App Development,Exploring Open Source,Working with Data,Information Technology,AI Engineer,129063,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
12th,"Data Structures, Docker, Machine Learning, AWS",Ethical Hacking,Exploring Open Source,Creating Technology,Computer Science,Network Engineer,107098,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
MSc Computer Science,"Data Structures, Networking, CSS, Automation",Data Analytics,Designing,Automating Processes,Mathematics,DevOps Engineer,110076,Automate CI/CD pipelines and system deployments.,Very High,Linux-CI/CD-Docker-Kubernetes
BCA,"Cloud Computing, React, HTML, Python",Software Engineering,Coding,Securing Networks,Information Technology,QA Automation Engineer,142536,Write automated test suites.,Very High,Selenium-PyTest-API Testing
MCA,"Python, Data Structures, Networking, Java",AI,Gaming,Building Intelligent Systems,Computer Science,Network Engineer,107868,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
MTech Data Science,"Linux, Docker, Node.js, Java",App Development,Debugging,Automating Processes,Computer Science,Data Scientist,124653,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
12th,"Azure, Java, Python, Linux",UI/UX Design,Exploring Open Source,Automating Processes,Information Technology,Cloud Engineer,91060,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
B.E Computer Science,"CSS, Node.js, Docker, Networking",Game Design,Exploring Open Source,Automating Processes,Electronics,Cybersecurity Analyst,87379,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
MCA,"Cloud Computing, Docker, AWS, Java",Game Design,Exploring Open Source,Building Intelligent Systems,Mathematics,Data Scientist,118153,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
MTech Artificial Intelligence,"Cybersecurity, Machine Learning, Docker, Linux",Machine Learning,Coding,Securing Networks,Electronics,QA Automation Engineer,77681,Write automated test suites.,Medium,Selenium-PyTest-API Testing
MTech Data Science,"AWS, Java, Kubernetes, Cybersecurity",Machine Learning,Reading Tech Blogs,Securing Networks,Electronics,Backend Developer,66912,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
MCA,"HTML, Docker, C++, JavaScript",App Development,Coding,Working with Data,Mathematics,Backend Developer,77725,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
BSc Information Technology,"C++, Machine Learning, Cloud Computing, SQL",Web Development,Gaming,Automating Processes,Data Science,Blockchain Developer,106262,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
B.Tech CSE,"Java, Cybersecurity, HTML, Deep Learning",Ethical Hacking,Designing,Creating Technology,Computer Science,AI Engineer,62960,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.Tech IT,"React, Node.js, Deep Learning, CSS",AI,Building Projects,Solving Problems,Electronics,AI Engineer,102548,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
Diploma in Computer Engineering,"React, Java, Azure, HTML",Ethical Hacking,Designing,Building Intelligent Systems,Physics,QA Automation Engineer,77033,Write automated test suites.,Medium,Selenium-PyTest-API Testing
MTech Artificial Intelligence,"Deep Learning, Machine Learning, SQL, Kubernetes",Data Analytics,Exploring Open Source,Building Intelligent Systems,Computer Science,Full Stack Developer,106753,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
10th,"Cloud Computing, C++, CSS, Deep Learning",Ethical Hacking,Debugging,Designing User Experiences,Electronics,Cloud Engineer,112969,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
10th,"CSS, AWS, Data Structures, Deep Learning",Cloud Computing,Designing,Working with Data,Computer Science,Machine Learning Engineer,63205,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
B.Tech CSE,"Deep Learning, C++, HTML, DevOps",App Development,Exploring Open Source,Developing Web Apps,Mathematics,Cybersecurity Analyst,84867,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
12th,"Azure, Java, JavaScript, Networking",App Development,Debugging,Automating Processes,Computer Science,Game Developer,102179,Build interactive video games.,Medium,Unity-C#-GamePhysics
BCA,"Docker, Deep Learning, C++, HTML",App Development,Exploring Open Source,Working with Data,Data Science,Mobile App Developer,112340,Create mobile applications.,High,Android-iOS-ReactNative
MSc Computer Science,"Networking, Linux, Node.js, Automation",App Development,Gaming,Automating Processes,Electronics,Blockchain Developer,81747,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
10th,"CSS, Cybersecurity, React, Kubernetes",Cloud Computing,Reading Tech Blogs,Working with Data,Electronics,AR/VR Developer,128653,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
MTech Data Science,"Cybersecurity, Data Structures, Azure, Networking",Ethical Hacking,Gaming,Designing User Experiences,Mathematics,DevOps Engineer,64514,Automate CI/CD pipelines and system deployments.,Very High,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"CSS, Automation, Kubernetes, HTML",Data Analytics,Building Projects,Designing User Experiences,Information Technology,Data Scientist,123804,Analyze and model data for insights.,Very High,Statistics-ML-DataVisualization
MTech Artificial Intelligence,"Java, React, Deep Learning, Linux",Networking,Debugging,Creating Technology,Physics,Full Stack Developer,118515,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
BSc Information Technology,"DevOps, Python, Data Structures, Node.js",Data Analytics,Debugging,Designing User Experiences,Electronics,Blockchain Developer,61585,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
B.E Computer Science,"Cybersecurity, Automation, Linux, Data Structures",Game Design,Reading Tech Blogs,Designing User Experiences,Mathematics,Cybersecurity Analyst,107529,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
BSc Computer Science,"DevOps, SQL, HTML, Azure",Game Design,Debugging,Solving Problems,Mathematics,QA Automation Engineer,100677,Write automated test suites.,High,Selenium-PyTest-API Testing
B.E Computer Science,"Kubernetes, Node.js, JavaScript, Java",UI/UX Design,Designing,Securing Networks,Physics,Database Administrator,82463,Manage and secure databases.,Medium,SQL-NoSQL-DBSecurity
MTech Data Science,"Node.js, CSS, Docker, DevOps",Networking,Reading Tech Blogs,Developing Web Apps,Data Science,Software Developer,124758,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
B.Tech IT,"Node.js, Azure, Cybersecurity, CSS",Networking,Reading Tech Blogs,Securing Networks,Information Technology,Data Scientist,113349,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
B.Tech IT,"Automation, Deep Learning, DevOps, Cybersecurity",Software Engineering,Coding,Developing Web Apps,Computer Science,UI/UX Designer,113987,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
MCA,"AWS, Deep Learning, Machine Learning, Kubernetes",Cloud Computing,Debugging,Developing Web Apps,Physics,Database Administrator,126828,Manage and secure databases.,Medium,SQL-NoSQL-DBSecurity
MTech Artificial Intelligence,"Linux, JavaScript, Docker, Automation",Data Analytics,Coding,Solving Problems,Computer Science,Frontend Developer,149662,Create interactive UI experiences.,Medium,HTML-CSS-JavaScript-React-UI Design
B.E Information Science,"Docker, Kubernetes, CSS, C++",Game Design,Debugging,Working with Data,Data Science,QA Automation Engineer,117463,Write automated test suites.,Very High,Selenium-PyTest-API Testing
B.E Computer Science,"Networking, CSS, Node.js, JavaScript",App Development,Coding,Solving Problems,Computer Science,AR/VR Developer,130126,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
BSc Computer Science,"React, Cybersecurity, Node.js, Networking",Web Development,Building Projects,Creating Technology,Information Technology,DevOps Engineer,143086,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"Machine Learning, Deep Learning, Docker, Linux",Machine Learning,Gaming,Creating Technology,Computer Science,Cloud Engineer,126364,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
12th,"AWS, Java, CSS, HTML",UI/UX Design,Reading Tech Blogs,Designing User Experiences,Computer Science,Cybersecurity Analyst,139399,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
MSc Computer Science,"Python, HTML, SQL, CSS",App Development,Competitive Programming,Automating Processes,Mathematics,Cloud Engineer,96225,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
BSc Computer Science,"Cybersecurity, Azure, Linux, Kubernetes",Machine Learning,Competitive Programming,Securing Networks,Mathematics,Database Administrator,141058,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
BCA,"DevOps, C++, Data Structures, Kubernetes",Ethical Hacking,Building Projects,Creating Technology,Computer Science,Full Stack Developer,77668,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
10th,"HTML, Networking, Docker, React",Ethical Hacking,Gaming,Creating Technology,Data Science,Cloud Engineer,69984,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
B.E Information Science,"Node.js, Automation, Azure, Cloud Computing",Data Analytics,Competitive Programming,Automating Processes,Physics,Full Stack Developer,80836,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
BSc Information Technology,"Node.js, Automation, Docker, C++",Software Engineering,Debugging,Creating Technology,Mathematics,DevOps Engineer,141607,Automate CI/CD pipelines and system deployments.,Very High,Linux-CI/CD-Docker-Kubernetes
MTech Artificial Intelligence,"CSS, Docker, DevOps, Data Structures",UI/UX Design,Reading Tech Blogs,Securing Networks,Information Technology,Mobile App Developer,97514,Create mobile applications.,Very High,Android-iOS-ReactNative
BSc Information Technology,"HTML, JavaScript, Machine Learning, AWS",Ethical Hacking,Building Projects,Automating Processes,Information Technology,QA Automation Engineer,125523,Write automated test suites.,High,Selenium-PyTest-API Testing
BCA,"Automation, Machine Learning, Networking, Kubernetes",UI/UX Design,Debugging,Building Intelligent Systems,Data Science,Data Scientist,117460,Analyze and model data for insights.,Very High,Statistics-ML-DataVisualization
MSc Computer Science,"Node.js, Data Structures, Kubernetes, Azure",Software Engineering,Coding,Solving Problems,Mathematics,Network Engineer,137663,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
MCA,"C++, Java, Python, Data Structures",Machine Learning,Coding,Automating Processes,Physics,Software Developer,70142,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
B.E Information Science,"Data Structures, SQL, Cloud Computing, DevOps",Networking,Coding,Automating Processes,Information Technology,AR/VR Developer,70522,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
MTech Artificial Intelligence,"Linux, DevOps, Node.js, Azure",AI,Debugging,Creating Technology,Information Technology,Data Scientist,110596,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
MTech Data Science,"Linux, Cloud Computing, SQL, JavaScript",App Development,Coding,Automating Processes,Computer Science,Machine Learning Engineer,72048,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
B.Tech CSE,"AWS, Linux, CSS, Cybersecurity",Cloud Computing,Reading Tech Blogs,Automating Processes,Computer Science,Mobile App Developer,149860,Create mobile applications.,Very High,Android-iOS-ReactNative
MCA,"Data Structures, Networking, Java, CSS",Machine Learning,Reading Tech Blogs,Designing User Experiences,Electronics,Full Stack Developer,89517,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
MTech Artificial Intelligence,"DevOps, C++, Python, Machine Learning",AI,Reading Tech Blogs,Automating Processes,Electronics,Game Developer,131701,Build interactive video games.,High,Unity-C#-GamePhysics
B.E Information Science,"Java, Kubernetes, Deep Learning, Data Structures",Networking,Coding,Securing Networks,Computer Science,Cybersecurity Analyst,107528,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
12th,"JavaScript, Python, Node.js, React",Web Development,Reading Tech Blogs,Creating Technology,Information Technology,Backend Developer,127101,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
BSc Computer Science,"Automation, Cybersecurity, Python, React",Machine Learning,Gaming,Working with Data,Electronics,AI Engineer,119792,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.Tech IT,"Machine Learning, Java, Linux, Data Structures",Software Engineering,Coding,Building Intelligent Systems,Data Science,Game Developer,114883,Build interactive video games.,High,Unity-C#-GamePhysics
B.E Information Science,"Azure, AWS, C++, Machine Learning",Networking,Debugging,Automating Processes,Information Technology,Network Engineer,111255,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
B.Tech CSE,"Java, AWS, Node.js, Cloud Computing",Networking,Gaming,Securing Networks,Data Science,Mobile App Developer,77038,Create mobile applications.,High,Android-iOS-ReactNative
B.Tech IT,"Cybersecurity, Machine Learning, CSS, Node.js",Machine Learning,Competitive Programming,Developing Web Apps,Mathematics,Cloud Engineer,76491,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
BSc Computer Science,"Linux, HTML, Networking, Docker",UI/UX Design,Coding,Creating Technology,Data Science,Backend Developer,83438,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
12th,"Linux, Deep Learning, Docker, Automation",Software Engineering,Gaming,Working with Data,Physics,AR/VR Developer,69392,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
BSc Information Technology,"Data Structures, C++, SQL, React",Web Development,Exploring Open Source,Working with Data,Mathematics,Mobile App Developer,106042,Create mobile applications.,Medium,Android-iOS-ReactNative
MTech Data Science,"JavaScript, AWS, HTML, Networking",Networking,Designing,Securing Networks,Computer Science,Cloud Engineer,117198,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
BSc Computer Science,"HTML, SQL, Docker, Node.js",Cloud Computing,Exploring Open Source,Creating Technology,Data Science,AR/VR Developer,91263,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
MCA,"HTML, Linux, SQL, Azure",Networking,Exploring Open Source,Building Intelligent Systems,Electronics,Software Developer,130897,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
B.E Computer Science,"Data Structures, Machine Learning, Python, Linux",Machine Learning,Exploring Open Source,Solving Problems,Computer Science,Machine Learning Engineer,79795,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
Diploma in Computer Engineering,"Networking, Deep Learning, Azure, HTML",Web Development,Competitive Programming,Solving Problems,Information Technology,Cloud Engineer,79083,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
MTech Artificial Intelligence,"Node.js, HTML, Java, Data Structures",Software Engineering,Building Projects,Creating Technology,Information Technology,Machine Learning Engineer,80322,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
B.E Information Science,"Machine Learning, JavaScript, HTML, DevOps",Ethical Hacking,Designing,Automating Processes,Physics,Mobile App Developer,66339,Create mobile applications.,Medium,Android-iOS-ReactNative
BCA,"HTML, Python, Docker, Cloud Computing",App Development,Reading Tech Blogs,Securing Networks,Information Technology,UI/UX Designer,110610,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MTech Data Science,"Docker, Cloud Computing, Azure, Automation",Data Analytics,Debugging,Creating Technology,Computer Science,Mobile App Developer,145367,Create mobile applications.,Medium,Android-iOS-ReactNative
10th,"Java, Networking, React, CSS",Ethical Hacking,Designing,Developing Web Apps,Data Science,QA Automation Engineer,92858,Write automated test suites.,High,Selenium-PyTest-API Testing
BSc Computer Science,"Machine Learning, CSS, SQL, React",Software Engineering,Exploring Open Source,Solving Problems,Mathematics,UI/UX Designer,86976,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
BCA,"Kubernetes, Machine Learning, CSS, SQL",Web Development,Building Projects,Developing Web Apps,Computer Science,QA Automation Engineer,123824,Write automated test suites.,High,Selenium-PyTest-API Testing
MCA,"Data Structures, Azure, Python, Cloud Computing",Ethical Hacking,Building Projects,Solving Problems,Data Science,Machine Learning Engineer,64007,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
MCA,"Java, C++, HTML, Cybersecurity",App Development,Gaming,Securing Networks,Data Science,Full Stack Developer,104251,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MTech Data Science,"Linux, Automation, SQL, Node.js",Web Development,Competitive Programming,Working with Data,Information Technology,Machine Learning Engineer,100659,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
BCA,"Networking, React, AWS, Cybersecurity",UI/UX Design,Reading Tech Blogs,Solving Problems,Data Science,Network Engineer,147586,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
MTech Data Science,"Python, C++, Cloud Computing, Azure",Game Design,Coding,Building Intelligent Systems,Information Technology,Cloud Engineer,90440,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
MSc Computer Science,"DevOps, Cybersecurity, AWS, Python",AI,Debugging,Automating Processes,Electronics,Software Developer,101614,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
B.Tech CSE,"Node.js, CSS, Cybersecurity, DevOps",Cloud Computing,Building Projects,Designing User Experiences,Electronics,Backend Developer,137385,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
MTech Artificial Intelligence,"Networking, SQL, Automation, Machine Learning",Networking,Reading Tech Blogs,Solving Problems,Electronics,Machine Learning Engineer,91898,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
BSc Information Technology,"Kubernetes, HTML, Automation, Cloud Computing",Data Analytics,Reading Tech Blogs,Building Intelligent Systems,Data Science,DevOps Engineer,88768,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
BSc Information Technology,"DevOps, Cloud Computing, Docker, HTML",Networking,Exploring Open Source,Working with Data,Mathematics,AI Engineer,131540,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
MTech Data Science,"Cloud Computing, C++, Python, Node.js",Software Engineering,Competitive Programming,Designing User Experiences,Information Technology,Machine Learning Engineer,81470,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
12th,"Cloud Computing, Docker, Cybersecurity, Networking",UI/UX Design,Gaming,Working with Data,Physics,Mobile App Developer,133378,Create mobile applications.,High,Android-iOS-ReactNative
B.E Information Science,"Node.js, Automation, Deep Learning, CSS",Data Analytics,Reading Tech Blogs,Creating Technology,Information Technology,UI/UX Designer,123640,Design seamless user experiences.,Medium,Wireframing-Prototyping-DesignTools
B.E Information Science,"Deep Learning, AWS, Machine Learning, DevOps",App Development,Competitive Programming,Building Intelligent Systems,Electronics,QA Automation Engineer,109435,Write automated test suites.,High,Selenium-PyTest-API Testing
BCA,"Cybersecurity, Deep Learning, JavaScript, Azure",Software Engineering,Building Projects,Solving Problems,Data Science,AR/VR Developer,90651,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
BSc Computer Science,"Networking, Docker, Linux, DevOps",Cloud Computing,Designing,Creating Technology,Information Technology,Machine Learning Engineer,107248,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
B.Tech IT,"AWS, Cybersecurity, SQL, DevOps",UI/UX Design,Competitive Programming,Securing Networks,Electronics,Software Developer,98423,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
MTech Data Science,"Python, Kubernetes, Deep Learning, Java",Machine Learning,Coding,Automating Processes,Physics,Network Engineer,144507,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
B.Tech IT,"Automation, HTML, Deep Learning, Cybersecurity",Ethical Hacking,Exploring Open Source,Working with Data,Mathematics,Frontend Developer,86591,Create interactive UI experiences.,Very High,HTML-CSS-JavaScript-React-UI Design
MTech Artificial Intelligence,"Cloud Computing, DevOps, Automation, Machine Learning",Data Analytics,Designing,Solving Problems,Computer Science,DevOps Engineer,63335,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
BCA,"AWS, Linux, Deep Learning, Node.js",Networking,Building Projects,Working with Data,Physics,Game Developer,85315,Build interactive video games.,Medium,Unity-C#-GamePhysics
BCA,"Python, Node.js, AWS, Cloud Computing",AI,Building Projects,Developing Web Apps,Data Science,Mobile App Developer,131652,Create mobile applications.,High,Android-iOS-ReactNative
BCA,"SQL, DevOps, React, CSS",Cloud Computing,Exploring Open Source,Designing User Experiences,Data Science,AI Engineer,144255,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
BSc Information Technology,"Python, HTML, CSS, Networking",Machine Learning,Debugging,Solving Problems,Physics,Software Developer,63120,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
BSc Computer Science,"Automation, Deep Learning, Data Structures, Java",AI,Debugging,Developing Web Apps,Mathematics,AI Engineer,113415,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.E Computer Science,"Linux, AWS, DevOps, HTML",Networking,Coding,Building Intelligent Systems,Information Technology,AI Engineer,84399,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
Diploma in Computer Engineering,"Linux, DevOps, Java, Docker",AI,Coding,Creating Technology,Data Science,Software Developer,99813,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
B.Tech IT,"Cybersecurity, Networking, Python, Cloud Computing",Game Design,Coding,Securing Networks,Electronics,Data Scientist,129225,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
MSc Computer Science,"JavaScript, Kubernetes, Java, Deep Learning",Machine Learning,Gaming,Automating Processes,Physics,Game Developer,107159,Build interactive video games.,Medium,Unity-C#-GamePhysics
BSc Computer Science,"CSS, Deep Learning, SQL, Node.js",Game Design,Coding,Creating Technology,Mathematics,Machine Learning Engineer,97115,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
BSc Computer Science,"Networking, C++, AWS, Deep Learning",Web Development,Exploring Open Source,Working with Data,Physics,Backend Developer,104303,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
12th,"React, JavaScript, Node.js, Automation",Software Engineering,Coding,Designing User Experiences,Electronics,Machine Learning Engineer,139683,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
B.E Computer Science,"Data Structures, JavaScript, Azure, React",Game Design,Exploring Open Source,Building Intelligent Systems,Information Technology,Cloud Engineer,133775,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
B.E Computer Science,"Kubernetes, DevOps, C++, HTML",Ethical Hacking,Competitive Programming,Developing Web Apps,Mathematics,UI/UX Designer,105670,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
MTech Artificial Intelligence,"CSS, Data Structures, AWS, SQL",App Development,Building Projects,Creating Technology,Information Technology,DevOps Engineer,112516,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"Cloud Computing, Java, Machine Learning, Python",Data Analytics,Exploring Open Source,Developing Web Apps,Physics,QA Automation Engineer,138138,Write automated test suites.,High,Selenium-PyTest-API Testing
B.Tech IT,"Data Structures, Node.js, Azure, DevOps",Software Engineering,Exploring Open Source,Solving Problems,Data Science,Full Stack Developer,98177,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MCA,"HTML, CSS, Cybersecurity, Kubernetes",AI,Competitive Programming,Designing User Experiences,Information Technology,AI Engineer,82388,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
MSc Computer Science,"React, Deep Learning, DevOps, HTML",Data Analytics,Gaming,Developing Web Apps,Data Science,Database Administrator,98516,Manage and secure databases.,Very High,SQL-NoSQL-DBSecurity
MCA,"SQL, JavaScript, Cybersecurity, Java",Software Engineering,Debugging,Securing Networks,Physics,Cybersecurity Analyst,81010,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
B.E Computer Science,"Networking, Docker, Java, JavaScript",AI,Competitive Programming,Solving Problems,Information Technology,Machine Learning Engineer,114180,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
BSc Computer Science,"Linux, React, Automation, Kubernetes",App Development,Competitive Programming,Creating Technology,Mathematics,Machine Learning Engineer,112805,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
BSc Computer Science,"Cloud Computing, Machine Learning, Node.js, Java",Machine Learning,Exploring Open Source,Building Intelligent Systems,Electronics,Database Administrator,116219,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
B.E Information Science,"Java, AWS, React, Linux",Ethical Hacking,Gaming,Designing User Experiences,Electronics,DevOps Engineer,136752,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"React, Cybersecurity, JavaScript, CSS",Data Analytics,Building Projects,Securing Networks,Data Science,Cybersecurity Analyst,136901,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
BCA,"Node.js, CSS, Cloud Computing, JavaScript",Software Engineering,Competitive Programming,Developing Web Apps,Physics,Machine Learning Engineer,128240,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
BCA,"React, C++, Docker, Java",Networking,Debugging,Automating Processes,Computer Science,Full Stack Developer,148667,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
B.Tech CSE,"HTML, Node.js, CSS, Linux",Cloud Computing,Building Projects,Solving Problems,Mathematics,Software Developer,61372,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
MTech Artificial Intelligence,"Data Structures, C++, Java, Python",Software Engineering,Debugging,Creating Technology,Mathematics,Full Stack Developer,93095,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
12th,"Python, Linux, Deep Learning, React",Game Design,Debugging,Working with Data,Electronics,Full Stack Developer,129694,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
MCA,"Java, JavaScript, React, Machine Learning",Web Development,Competitive Programming,Building Intelligent Systems,Electronics,Full Stack Developer,137102,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
B.E Information Science,"Docker, JavaScript, DevOps, Linux",Ethical Hacking,Exploring Open Source,Creating Technology,Electronics,Data Scientist,68404,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
B.E Information Science,"Kubernetes, AWS, JavaScript, DevOps",AI,Building Projects,Building Intelligent Systems,Mathematics,QA Automation Engineer,127569,Write automated test suites.,High,Selenium-PyTest-API Testing
MSc Computer Science,"Cybersecurity, AWS, DevOps, Networking",Data Analytics,Designing,Building Intelligent Systems,Computer Science,AI Engineer,132789,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
12th,"Machine Learning, HTML, Cloud Computing, Node.js",Web Development,Coding,Securing Networks,Information Technology,Game Developer,81725,Build interactive video games.,Medium,Unity-C#-GamePhysics
MSc Computer Science,"Data Structures, Deep Learning, Kubernetes, Node.js",Software Engineering,Coding,Securing Networks,Information Technology,AI Engineer,146290,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
B.E Information Science,"Node.js, Deep Learning, HTML, JavaScript",Data Analytics,Reading Tech Blogs,Designing User Experiences,Information Technology,Game Developer,104395,Build interactive video games.,High,Unity-C#-GamePhysics
BSc Computer Science,"Cloud Computing, Data Structures, JavaScript, Docker",Ethical Hacking,Competitive Programming,Building Intelligent Systems,Mathematics,AI Engineer,120221,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
